0,1,408
2,0,230
1,3,417
4,2,231
3,5,415
6,49,658
49,50,734
50,51,715
51,4,707
5,52,416
52,53,732
53,54,702
54,55,642
55,56,637
56,7,651
8,6,218
7,57,626
57,58,628
58,59,465
59,60,470
60,61,566
61,9,570
10,8,219
9,11,578
12,10,208
11,62,583
62,13,581
14,12,436
13,63,556
63,64,550
64,15,508
16,14,449
15,65,506
65,66,514
66,17,518
18,16,454
17,67,523
67,19,524
20,18,455
19,21,534
22,20,459
21,68,529
68,69,537
69,70,494
70,71,504
71,72,499
72,23,491
24,22,453
23,73,597
73,74,608
74,75,599
75,76,280
76,77,353
77,25,367
26,78,244
78,79,241
79,24,451
25,27,331
28,26,273
27,29,327
30,28,251
29,31,347
32,30,262
31,33,349
34,32,263
33,35,348
36,34,261
35,80,344
80,81,340
81,82,386
82,37,269
38,36,255
37,39,271
40,38,252
39,40,272
41,83,588
83,42,527
43,84,575
84,41,592
42,85,509
85,44,547
44,86,541
86,43,554
45,87,660
87,88,720
88,46,368
47,89,320
89,90,717
90,45,372
48,91,400
91,92,394
92,47,691
46,93,434
93,94,441
94,48,705
