10,193,12,207,208,209
104,168,50,210,211,212
119,189,169,213,214,215
6,193,10,216,217,207
8,6,10,218,219,217
127,194,124,220,221,222
119,185,51,223,224,225
51,189,119,226,224,213
48,120,190,227,228,229
2,0,4,230,231,232
109,189,0,233,234,235
105,14,186,236,237,238
120,78,79,239,240,241
101,26,78,242,243,244
120,101,78,245,239,243
102,92,163,246,247,248
34,30,28,249,250,251
40,38,121,252,253,254
38,36,102,255,256,257
103,102,36,258,259,257
103,36,34,259,260,261
30,34,32,249,262,263
102,163,82,247,264,265
102,121,38,266,256,254
121,102,82,266,267,264
37,121,82,268,269,267
121,37,39,268,270,271
121,39,40,270,253,272
28,26,162,273,274,275
101,162,26,276,242,275
124,108,123,277,278,279
75,76,171,280,281,282
110,166,170,283,284,285
52,170,123,286,287,288
165,179,108,289,290,291
145,15,205,292,293,294
124,170,166,295,296,285
45,165,204,297,298,299
4,0,189,232,300,235
134,77,196,301,302,303
96,129,128,304,305,306
195,203,129,307,308,309
173,178,154,310,311,312
108,124,125,277,313,314
125,124,194,314,315,222
131,100,89,316,317,318
100,47,89,319,318,320
130,184,90,321,322,323
119,46,185,324,223,325
29,184,27,326,327,328
130,25,27,329,330,331
131,184,29,332,333,326
133,80,100,334,335,336
132,100,80,337,338,336
81,132,80,339,340,338
133,31,35,341,342,343
80,133,35,334,344,342
100,131,133,316,335,345
133,131,31,345,341,346
131,29,31,333,346,347
33,35,31,348,349,343
135,25,172,350,351,352
77,134,76,301,353,354
75,171,96,281,355,356
195,206,111,357,358,359
111,196,126,360,361,362
134,206,76,363,354,364
130,172,25,365,329,352
135,77,25,366,350,367
88,46,177,368,369,370
45,126,90,371,372,373
126,172,90,374,373,375
47,136,197,376,377,378
136,100,132,379,380,337
135,196,77,381,366,303
163,136,122,382,383,384
82,122,81,385,386,387
93,186,164,388,389,390
132,81,136,339,380,391
103,91,92,392,393,394
161,201,198,395,396,397
102,103,92,258,246,393
101,48,91,398,399,400
103,162,91,401,392,402
92,197,163,403,248,404
100,136,47,379,319,376
101,91,162,399,276,402
137,123,108,405,406,279
109,0,1,234,407,408
103,34,162,260,401,409
137,183,3,410,411,412
123,137,5,405,413,414
137,3,5,411,414,415
52,123,5,287,416,413
1,3,183,417,418,412
131,89,184,317,332,419
104,185,46,420,421,325
169,177,119,422,214,423
124,123,170,278,295,288
34,28,162,250,409,274
81,122,136,387,391,384
1,183,169,418,424,425
137,108,87,406,426,427
54,158,191,428,429,430
106,190,120,431,432,229
101,120,48,245,398,227
120,79,106,240,432,433
93,164,46,389,434,435
14,12,186,436,238,437
118,186,12,438,439,437
94,105,93,440,441,442
117,167,187,443,444,445
105,106,16,446,447,448
105,16,14,447,236,449
106,79,24,433,450,451
106,24,22,450,452,453
18,16,20,454,455,456
106,105,94,446,457,440
108,125,165,313,290,458
22,20,16,459,460,456
106,22,16,452,448,460
138,140,58,461,462,463
59,138,58,464,465,462
113,142,59,466,467,468
60,113,59,469,470,467
140,139,112,471,472,473
137,87,183,426,410,474
114,141,140,475,476,477
139,140,141,471,478,477
143,142,113,479,480,466
144,114,142,481,482,483
98,144,143,484,485,486
142,143,144,479,482,486
140,142,114,487,476,483
138,59,142,464,488,468
112,58,140,489,472,463
142,140,138,487,488,461
23,95,72,490,491,492
70,144,69,493,494,495
144,98,69,484,495,496
114,144,70,481,497,493
72,141,71,498,499,500
141,114,71,475,500,501
95,182,72,502,492,503
71,114,70,501,504,497
65,205,15,505,506,294
145,64,15,507,292,508
42,85,66,509,510,511
97,65,66,512,513,514
44,205,97,515,516,517
66,17,42,518,510,519
146,42,17,520,521,519
67,146,17,522,523,521
67,19,146,524,522,525
146,83,42,526,520,527
68,147,21,528,529,530
147,99,21,531,530,532
99,19,21,533,532,534
98,147,68,535,536,528
69,98,68,496,537,536
83,146,19,526,538,525
99,83,19,539,533,538
86,148,44,540,541,542
129,171,206,543,544,545
97,85,44,546,516,547
148,63,64,548,549,550
145,148,64,551,507,549
63,86,43,552,553,554
145,44,148,555,551,542
63,43,13,553,556,557
143,149,98,558,485,559
148,86,63,540,548,552
150,61,149,560,561,562
113,60,143,469,480,563
149,143,150,558,561,564
150,143,60,564,565,563
61,150,60,560,566,565
107,149,61,567,568,562
9,107,61,569,570,568
151,152,9,571,572,573
84,62,43,574,575,576
151,9,11,572,577,578
152,149,107,579,580,567
13,43,62,557,581,576
151,11,62,577,582,583
147,98,149,535,584,559
99,147,152,531,585,586
149,152,147,579,584,586
99,41,83,587,539,588
97,66,85,513,546,511
107,9,152,569,580,573
152,151,41,571,589,590
99,152,41,585,587,589
151,62,84,582,591,574
84,41,151,592,591,590
153,181,23,593,594,595
73,153,23,596,597,594
75,176,74,598,599,600
173,176,96,601,602,603
154,192,74,604,605,606
74,115,73,607,608,609
115,198,73,610,609,611
155,199,181,612,613,614
156,57,139,615,616,617
155,201,7,618,619,620
157,96,200,621,622,623
156,155,7,624,625,619
57,156,7,615,626,625
112,139,57,473,627,617
58,112,57,489,628,627
128,200,96,629,305,623
128,203,188,630,631,632
200,128,202,629,633,634
155,181,201,613,618,635
56,159,55,636,637,638
117,187,55,444,639,640
115,74,192,607,641,606
54,55,187,642,643,640
158,202,191,644,430,645
117,55,159,639,646,638
161,175,116,647,648,649
7,116,56,650,651,652
104,164,168,653,210,654
160,180,175,655,656,657
6,49,193,658,216,659
45,87,179,660,661,662
110,191,202,663,664,645
174,198,115,665,666,610
141,72,182,498,667,503
181,198,201,668,635,397
161,174,175,669,647,670
159,56,175,636,671,672
95,23,181,490,673,595
154,74,176,605,674,600
195,129,206,308,357,544
134,196,206,302,363,675
44,145,205,555,515,293
65,97,205,512,505,517
126,45,204,371,676,298
194,111,204,677,678,679
195,127,203,680,307,681
128,129,203,306,630,309
188,110,202,682,683,664
158,200,202,684,644,633
116,7,201,650,685,620
161,116,201,648,395,685
158,187,200,686,684,687
188,202,128,683,631,634
156,139,199,616,688,689
155,156,199,624,612,688
174,161,198,669,665,396
153,73,198,596,690,611
92,47,197,691,403,377
136,163,197,382,378,404
111,206,196,359,360,675
135,126,196,692,381,362
125,194,204,315,693,678
111,194,195,677,358,694
126,204,111,676,361,679
127,195,194,680,220,694
118,12,193,439,695,209
49,168,193,696,659,697
160,174,192,698,699,700
154,178,192,312,604,701
53,54,191,702,703,429
110,53,191,704,663,703
94,48,190,705,706,228
106,94,190,457,431,706
51,4,189,707,226,300
109,169,189,708,233,215
127,188,203,709,681,632
127,166,188,710,709,711
158,54,187,428,686,643
167,157,187,712,445,713
93,105,186,442,388,237
118,164,186,714,438,390
50,51,185,715,716,225
104,50,185,211,420,716
130,27,184,330,321,328
89,90,184,717,419,323
88,169,183,718,719,425
87,88,183,720,474,719
139,141,182,478,721,667
95,181,182,673,502,722
182,181,199,722,723,614
153,198,181,690,593,668
159,175,180,671,724,657
167,117,180,443,725,726
165,45,179,297,289,661
87,108,179,427,662,291
173,157,178,727,310,728
160,192,178,699,729,701
169,88,177,718,422,369
46,119,177,324,370,423
173,154,176,311,601,674
75,96,176,355,598,603
116,175,56,649,652,672
174,160,175,698,670,656
115,192,174,641,666,700
139,182,199,721,689,723
167,178,157,730,712,728
96,157,173,621,602,727
126,135,172,692,374,351
130,90,172,322,365,375
129,96,171,304,543,356
76,206,171,364,282,545
53,110,170,704,731,284
52,53,170,732,286,731
167,160,178,733,730,729
109,1,169,407,708,424
49,50,168,734,696,212
118,193,168,695,735,697
159,180,117,724,646,726
157,200,187,622,713,687
127,124,166,221,710,296
110,188,166,682,283,711
160,167,180,733,655,725
125,204,165,693,458,299
104,46,164,421,653,435
118,168,164,735,714,654
122,82,163,385,383,265
