0,2,142,146,149
2,3,382,385,387
3,4,445,448,450
4,5,418,422,425
5,6,532,533,534
6,7,511,514,516
7,8,522,524,525
8,9,546,548,549
9,10,52,56,59
10,11,133,136,138
11,12,97,101,104
12,13,112,113,114
13,14,123,125,126
14,15,249,251,252
15,16,234,236,237
16,17,204,206,207
17,18,208,212,215
18,0,163,166,168
1,19,277,278,279
19,20,634,638,641
20,21,606,608,609
21,22,598,601,603
22,1,630,632,633
