6,23,24
6,24,5
2,6,5
2,5,1
15,2,1
15,1,12
44,15,12
44,12,42
75,44,42
75,42,73
109,75,73
109,73,107
144,109,107
107,143,144
143,178,144
177,178,143
177,143,142
176,177,142
151,176,142
151,142,119
150,151,119
150,119,118
117,150,118
117,118,85
84,117,85
84,85,54
53,84,54
53,54,25
52,53,25
52,25,24
23,52,24
287,257,269
287,269,299
317,287,299
317,299,329
344,317,329
344,329,354
367,344,354
367,354,374
384,367,374
384,374,390
396,384,390
396,390,401
404,396,401
404,401,407
408,404,407
408,407,409
406,408,409
406,409,405
400,406,405
398,400,405
398,405,397
387,398,397
387,397,385
371,387,385
371,385,368
350,371,368
350,368,345
325,350,345
325,345,318
295,325,318
295,318,288
266,295,288
266,288,258
235,266,258
235,258,227
204,235,227
204,227,195
172,204,195
172,195,163
139,172,163
130,139,163
130,163,140
162,130,140
162,140,173
194,162,173
194,173,206
226,194,206
226,206,238
257,226,238
257,238,269
21,22,23
21,23,6
4,21,6
4,6,2
16,4,2
16,2,15
45,16,15
45,15,44
76,45,44
76,44,75
110,76,75
110,75,109
145,110,109
145,109,144
179,145,144
179,144,178
212,179,178
211,212,178
211,178,177
210,211,177
210,177,176
209,210,176
183,209,176
183,176,151
182,183,151
182,151,150
149,182,150
149,150,117
116,149,117
116,117,84
83,116,84
83,84,53
83,53,52
51,83,52
51,52,23
22,51,23
256,225,257
256,257,287
286,256,287
286,287,317
316,286,317
316,317,344
343,316,344
343,344,367
366,343,367
366,367,384
383,366,384
383,384,396
382,383,396
395,382,396
395,396,404
403,395,404
403,404,408
402,403,408
402,408,406
399,402,406
399,406,400
389,399,400
389,400,398
386,389,398
386,398,387
370,386,387
370,387,371
349,370,371
348,349,371
348,371,350
324,348,350
324,350,325
294,324,325
294,325,295
265,294,295
265,295,266
234,265,266
234,266,235
203,234,235
203,235,204
171,203,204
171,204,172
138,171,172
138,172,139
106,138,139
105,106,139
105,139,130
129,105,130
129,130,162
161,129,162
161,162,194
193,161,194
193,194,226
225,193,226
225,226,257
49,50,22
49,22,21
20,49,21
20,21,4
14,20,4
14,4,16
16,45,14
45,13,14
43,13,45
43,45,76
74,43,76
74,76,110
108,74,110
108,110,145
141,108,145
174,141,145
174,145,179
207,174,179
207,179,212
239,207,212
243,239,212
243,212,211
242,243,211
242,211,210
241,242,210
241,210,209
215,241,209
215,209,183
214,215,183
214,183,182
181,214,182
148,181,182
148,182,149
115,148,149
115,149,116
82,115,116
82,116,83
82,83,51
50,82,51
50,51,22
224,192,225
224,225,256
255,224,256
255,256,286
285,255,286
285,286,316
284,285,316
315,284,316
315,316,343
342,315,343
342,343,366
365,342,366
365,366,383
364,365,383
364,383,382
381,364,382
381,382,395
394,381,395
394,395,403
393,394,403
393,403,402
392,393,402
391,392,402
391,402,399
388,391,399
388,399,389
373,388,389
373,389,386
369,373,386
369,386,370
347,369,370
347,370,349
323,347,349
323,349,348
322,323,348
321,322,348
321,348,324
293,321,324
293,324,294
264,293,294
264,294,265
233,264,265
233,265,234
202,233,234
202,234,203
170,202,203
170,203,171
137,170,171
137,171,138
104,137,138
103,104,138
103,138,106
71,103,106
71,106,105
95,71,105
95,105,129
128,95,129
128,129,161
160,128,161
160,161,193
191,160,193
193,225,191
225,192,191
80,81,50
80,50,49
48,80,49
48,49,20
19,48,20
19,20,14
3,19,14
3,14,13
11,3,13
11,13,43
41,11,43
41,43,74
72,41,74
72,74,108
98,72,108
132,98,108
132,108,141
164,132,141
164,141,174
175,164,174
175,174,207
208,175,207
240,208,207
240,207,239
270,240,239
270,239,243
271,270,243
273,271,243
273,243,242
272,273,242
272,242,241
246,272,241
246,241,215
245,246,215
245,215,214
244,245,214
213,244,214
213,214,181
180,213,181
180,181,148
147,180,148
114,147,148
114,148,115
114,115,82
81,114,82
81,82,50
190,159,192
190,192,224
223,190,224
223,224,255
254,223,255
254,255,285
253,254,285
253,285,284
252,253,284
283,252,284
283,284,315
314,283,315
314,315,342
341,314,342
341,342,365
340,341,365
340,365,364
363,340,364
363,364,381
380,363,381
380,381,394
379,380,394
378,379,394
378,394,393
377,378,393
377,393,392
376,377,392
376,392,391
375,376,391
375,391,388
372,375,388
372,388,373
353,372,373
352,353,373
352,373,369
346,352,369
346,369,347
320,346,347
