9,1,159,160
8,0,166,167
10,2,180,181
11,3,187,188
41,4,201,202
19,12,218,219
4,16,237,238
16,17,244,245
23,5,261,262
29,6,268,269
26,13,275,276
20,21,294,295
32,14,313,314
35,7,332,333
13,27,351,352
17,18,363,364
0,11,366,367
6,30,373,374
14,33,385,386
38,15,392,393
7,36,409,410
36,37,416,417
15,39,423,424
39,40,430,431
24,25,442,443
33,34,449,450
30,31,471,472
27,28,483,484
21,22,495,496
37,38,515,516
2,9,518,519
40,41,530,531
34,35,533,534
31,32,541,542
1,8,544,545
28,29,549,550
25,26,566,567
3,10,569,570
18,19,574,575
22,23,579,580
5,24,817,818
12,20,853,854
