0,1,134
0,2,97
1,3,59
2,4,131
3,5,67
4,6,48
5,17,87
17,7,78
6,18,49
18,8,55
7,9,76
8,10,53
9,11,68
10,12,122
12,19,108
19,11,81
13,20,57
20,14,95
15,21,133
21,13,110
16,22,107
22,15,115
14,23,85
23,16,90
