38,12,23,44,45,46
15,17,23,47,48,49
23,11,10,50,51,52
23,10,15,51,48,53
17,15,24,47,54,55
8,24,9,56,57,58
9,24,15,58,59,55
25,1,42,60,61,62
2,1,18,63,64,65
25,42,31,61,66,67
25,18,1,68,60,65
18,3,2,69,64,70
16,14,6,71,72,73
16,6,5,72,74,75
26,5,19,76,77,78
4,19,5,79,80,78
13,19,4,81,82,79
5,26,16,76,74,83
18,27,13,84,85,86
28,26,19,87,88,77
13,3,18,89,85,69
27,19,13,90,86,81
29,16,26,91,92,83
20,29,28,93,94,95
26,28,29,87,92,95
25,30,18,96,68,97
31,20,30,98,99,100
36,0,43,101,102,103
30,25,31,96,99,66
28,30,20,104,94,100
27,18,30,84,105,97
19,27,28,90,88,106
30,28,27,104,105,106
32,33,14,107,108,109
16,32,14,110,71,108
21,33,32,111,112,107
7,14,33,113,114,109
35,34,21,115,116,117
17,24,35,54,118,119
34,35,24,115,120,119
33,21,34,111,121,117
33,8,7,122,114,123
34,24,8,120,124,56
33,34,8,121,122,124
38,43,12,125,44,126
36,43,22,102,127,128
0,36,42,101,129,130
38,37,22,131,132,133
23,17,37,49,134,135
11,23,12,50,136,46
37,38,23,131,134,45
36,31,42,137,130,67
0,12,43,138,103,126
38,22,43,132,125,128
35,37,17,139,118,135
39,22,37,140,141,133
21,39,35,142,116,143
37,35,39,139,141,143
40,36,22,144,145,127
0,42,1,129,146,62
20,31,40,98,147,148
36,40,31,144,137,148
32,41,21,149,112,150
29,20,41,93,151,152
16,29,32,91,110,153
41,32,29,149,151,153
40,41,20,154,147,152
39,21,41,142,155,150
22,39,40,140,145,156
41,40,39,154,155,156
