37,2,28,40,41,42
18,25,28,43,44,45
28,4,6,46,47,48
28,6,18,47,44,49
25,18,29,43,50,51
10,29,8,52,53,54
8,29,18,54,55,51
20,38,13,56,57,58
3,1,26,59,60,61
20,30,38,62,56,63
30,26,1,64,65,61
26,5,3,66,60,67
11,9,31,68,69,70
11,31,23,69,71,72
31,9,27,70,73,74
7,27,9,75,76,74
17,27,7,77,78,75
24,19,11,79,80,81
26,32,17,82,83,84
14,23,31,85,86,72
17,5,26,87,83,66
32,27,17,88,84,77
16,24,23,89,90,91
11,23,24,71,80,91
30,33,26,92,64,93
14,33,20,94,95,96
33,30,20,92,96,62
0,2,39,97,98,99
32,26,33,82,100,93
32,14,27,101,88,102
31,27,14,73,86,102
32,33,14,100,101,94
19,16,34,103,104,105
22,34,16,106,107,105
19,24,16,79,103,89
12,19,34,108,109,104
21,13,39,110,111,112
35,22,15,113,114,115
15,25,29,116,117,50
34,22,12,106,109,118
35,29,10,119,120,52
29,35,15,119,117,114
35,10,12,120,121,122
12,22,35,118,121,113
37,39,2,123,40,99
37,21,39,124,123,111
0,13,38,125,126,58
28,25,36,45,127,128
37,36,21,129,124,130
4,28,2,46,131,42
36,37,28,129,127,41
0,39,13,98,125,112
36,25,15,128,132,116
21,36,15,130,133,132
0,38,1,126,134,135
30,1,38,65,63,135
