11 20
1 -2.706064e-02 -7.498468e-03 9.659751e-18
2 -1.956217e-02 -1.565906e-12 6.939705e-18
3 -2.706064e-02 7.498468e-03 9.604240e-18
4 -3.455911e-02 -2.239207e-12 1.226878e-17
5 -2.175842e-02 -5.302217e-03 7.657288e-18
6 -2.175842e-02 5.302218e-03 7.413406e-18
7 -3.236286e-02 5.302217e-03 1.155941e-17
8 -3.236286e-02 -5.302218e-03 1.155941e-17
9 -2.705942e-02 -1.816877e-03 1.014492e-17
10 -2.489074e-02 2.777111e-03 9.406568e-18
11 -2.923613e-02 2.775111e-03 1.131308e-17
1 102 1 5 
2 102 5 2 
3 102 2 6 
4 102 6 3 
5 102 3 7 
6 102 7 4 
7 102 4 8 
8 102 8 1 
9 203 9 8 4 
10 203 9 10 2 
11 203 1 9 5 
12 203 2 5 9 
13 203 8 9 1 
14 203 10 6 2 
15 203 10 3 6 
16 203 4 11 9 
17 203 11 4 7 
18 203 10 11 3 
19 203 11 7 3 
20 203 11 10 9 
